1196.555,11
1196.555,10
1196.559,9
1196.578,8
1196.613,8
1196.727,7
1196.849,8
1196.899,6
1196.941,6
1196.986,6
1197.04,7
1197.093,14
1197.143,13
1197.192,13
1197.242,4
1197.292,13
1197.341,16
1197.391,23
1197.444,32
1197.494,29
1197.543,27
1197.593,17
1197.643,10
1197.692,4
1197.742,12
1197.795,30
1197.845,51
1197.894,83
1197.948,124
1197.997,160
1198.047,181
1198.096,189
1198.15,189
1198.199,160
1198.253,122
1198.302,87
1198.352,47
1198.402,30
1198.451,28
1198.505,34
1198.554,70
1198.604,100
1198.653,143
1198.703,181
1198.753,205
1198.802,220
1198.852,216
1198.901,201
1198.951,182
1199.004,146
1199.05,115
1199.104,75
1199.153,50
1199.199,37
1199.252,23
1199.302,24
1199.351,15
1199.401,19
1199.451,8
1199.5,18
1199.55,14
1199.599,6
1199.649,13
1199.699,15
